Phylum,Class,Genus,number of occurrences
Arthropoda,Hexanauplia,Cosmocalanus,3
Arthropoda,Hexanauplia,Ctenocalanus,2
Arthropoda,Hexanauplia,Cyclops,151
Arthropoda,Hexanauplia,Delibus,21
Arthropoda,Hexanauplia,Diacyclops,13
Arthropoda,Hexanauplia,Diaptomus,10
Arthropoda,Hexanauplia,Dioithona,17
Arthropoda,Hexanauplia,Disseta,2
Arthropoda,Hexanauplia,Ditrichocorycaeus,1
Arthropoda,Hexanauplia,Drepanopus,1
Arthropoda,Hexanauplia,Eodiaptomus,1
Arthropoda,Hexanauplia,Euaugaptilus,12
Arthropoda,Hexanauplia,Eucalanus,111
Arthropoda,Hexanauplia,Euchaeta,23
Arthropoda,Hexanauplia,Euchirella,18
Arthropoda,Hexanauplia,Eucyclops,1
Arthropoda,Hexanauplia,Eudiaptomus,15
Arthropoda,Hexanauplia,Euryte,2
Arthropoda,Hexanauplia,Eurytemora,350
Arthropoda,Hexanauplia,Filipinodiaptomus,2
Arthropoda,Hexanauplia,Foxtonia,1
Arthropoda,Hexanauplia,Gaetanus,2
Arthropoda,Hexanauplia,Halicyclops,3
Arthropoda,Hexanauplia,Haloptilus,7
Arthropoda,Hexanauplia,Hase,1
Arthropoda,Hexanauplia,Heliodiaptomus,1
Arthropoda,Hexanauplia,Hemicyclops,8
Arthropoda,Hexanauplia,Hemidiaptomus,34
Arthropoda,Hexanauplia,Heterocope,3
Arthropoda,Hexanauplia,Heterostylites,1
Arthropoda,Hexanauplia,Hyperbionyx,4
Arthropoda,Hexanauplia,Labidocera,80
Arthropoda,Hexanauplia,Laophonte,1
Arthropoda,Hexanauplia,Lepeophtheirus,344
